Time,ManagementArea,Prescription,Stand,EventID,StandAge,StandRank,NumberOfSites,HarvestedSites,MgBiomassRemoved,MgBioRemovedPerDamagedHa,TotalCohortsPartialHarvest,TotalCohortsCompleteHarvest,CohortsHarvested_abiebals,CohortsHarvested_acerrubr,CohortsHarvested_acersacc,CohortsHarvested_betualle,CohortsHarvested_betupapy,CohortsHarvested_fraxamer,CohortsHarvested_piceglau,CohortsHarvested_pinubank,CohortsHarvested_pinuresi,CohortsHarvested_pinustro,CohortsHarvested_poputrem,CohortsHarvested_querelli,CohortsHarvested_querrubr,CohortsHarvested_thujocci,CohortsHarvested_tiliamer,BiomassHarvestedMg_abiebals,BiomassHarvestedMg_acerrubr,BiomassHarvestedMg_acersacc,BiomassHarvestedMg_betualle,BiomassHarvestedMg_betupapy,BiomassHarvestedMg_fraxamer,BiomassHarvestedMg_piceglau,BiomassHarvestedMg_pinubank,BiomassHarvestedMg_pinuresi,BiomassHarvestedMg_pinustro,BiomassHarvestedMg_poputrem,BiomassHarvestedMg_querelli,BiomassHarvestedMg_querrubr,BiomassHarvestedMg_thujocci,BiomassHarvestedMg_tiliamer,
25, 1, MaxAgeClearcut(1), 40, 5, 0, 9, 65, 65, 10008.51, 153.9771, 0, 323, 0, 114, 1, 5, 41, 17, 0, 0, 0, 0, 48, 0, 0, 53, 44, 0, 3106.429999999999, 31.96, 178.83, 1520.8500000000001, 607.05, 0, 0, 0, 0, 1462.2399999999998, 0, 0, 1736.0500000000002, 1365.0999999999997, 
25, 1, MaxAgeClearcut(1), 37, 6, 0, 9, 78, 77, 5825.19, 75.6518, 0, 200, 0, 112, 0, 1, 6, 1, 0, 40, 0, 0, 30, 0, 0, 6, 4, 0, 2779.9399999999996, 0, 34.6, 208.66, 29.66, 0, 865.2, 0, 0, 1628.74, 0, 0, 172.95000000000002, 105.44, 
25, 1, MaxAgeClearcut(1), 39, 7, 0, 9, 47, 47, 953.83, 20.2943, 0, 230, 0, 93, 1, 4, 22, 14, 0, 1, 0, 0, 32, 0, 0, 33, 30, 0, 730.4199999999998, 0.03, 2.2800000000000002, 30.16, 49.120000000000005, 0, 11.3, 0, 0, 41.41, 0, 0, 46.239999999999995, 42.870000000000005, 
25, 1, MaxAgeClearcut(1), 41, 8, 0, 9, 105, 103, 12923.18, 125.4678, 0, 405, 0, 165, 1, 4, 41, 13, 0, 11, 0, 0, 65, 0, 0, 59, 46, 0, 4486.2599999999975, 26.03, 129.2, 1512.03, 433.6600000000001, 0, 250.34000000000003, 0, 0, 2604.36, 0, 0, 2014.28, 1467.0199999999995, 
25, 1, MaxAgeClearcut(1), 45, 9, 0, 9, 135, 119, 1761.5, 14.8025, 0, 330, 0, 119, 0, 3, 22, 11, 0, 57, 0, 0, 75, 0, 0, 22, 21, 0, 1019.2300000000001, 0, 1.07, 26.32, 11.120000000000001, 0, 496.7500000000001, 0, 0, 174.76000000000005, 0, 0, 14.45, 17.8, 
45, 1, MaxAgeClearcut(2), 4, 1, 0, 9, 29, 29, 453.28, 15.6303, 0, 67, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 0, 424.3999999999999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13.7, 15.18, 
45, 1, MaxAgeClearcut(2), 36, 2, 0, 9, 113, 111, 13542.11, 122.001, 0, 390, 0, 198, 0, 1, 40, 3, 0, 0, 0, 0, 79, 0, 0, 40, 29, 0, 6341.3799999999965, 0, 36.66, 1566.8399999999997, 116.46000000000001, 0, 0, 0, 0, 3180.3199999999997, 0, 0, 1393.2600000000004, 907.1900000000003, 
45, 1, MaxAgeClearcut(2), 35, 3, 0, 9, 72, 64, 5951.32, 92.9894, 0, 173, 0, 105, 0, 0, 2, 0, 0, 46, 0, 0, 18, 0, 0, 1, 1, 0, 3054.4799999999996, 0, 0, 87.18, 0, 0, 1765.4199999999996, 0, 0, 984.4300000000001, 0, 0, 30.36, 29.45, 
45, 1, MaxAgeClearcut(2), 38, 4, 0, 9, 73, 73, 6728.07, 92.1653, 0, 251, 0, 139, 0, 0, 13, 5, 0, 0, 0, 0, 21, 0, 0, 36, 37, 0, 3105.2499999999995, 0, 0, 520.6, 183.92000000000002, 0, 0, 0, 0, 767.0799999999999, 0, 0, 1108.6800000000003, 1042.5399999999997, 
45, 1, MaxAgeClearcut(2), 40, 5, 0, 9, 65, 65, 9145.43, 140.6989, 0, 272, 0, 118, 0, 0, 35, 6, 0, 0, 0, 0, 42, 0, 0, 40, 31, 0, 3563.2099999999996, 0, 0, 1446.37, 228.14000000000001, 0, 0, 0, 0, 1443.5699999999997, 0, 0, 1408.3999999999999, 1055.7399999999998, 
45, 1, MaxAgeClearcut(2), 37, 6, 0, 9, 78, 77, 8757.88, 113.7387, 0, 238, 0, 149, 0, 0, 6, 1, 0, 45, 0, 0, 29, 0, 0, 5, 3, 0, 5686.149999999996, 0, 0, 222.10999999999996, 29.66, 0, 1235.3399999999997, 0, 0, 1352.69, 0, 0, 149.5, 82.43, 
45, 1, MaxAgeClearcut(2), 39, 7, 0, 9, 47, 47, 956.86, 20.3587, 0, 202, 0, 93, 0, 0, 20, 6, 0, 9, 0, 0, 29, 0, 0, 26, 19, 0, 708.0600000000001, 0, 0, 27.06000000000001, 10.04, 0, 73.35, 0, 0, 61.099999999999994, 0, 0, 23.15, 54.1, 
45, 1, MaxAgeClearcut(2), 41, 8, 0, 9, 105, 105, 13299.45, 126.6614, 0, 392, 0, 197, 0, 1, 37, 3, 0, 15, 0, 0, 60, 0, 0, 48, 31, 0, 5952.840000000001, 0, 32.84, 1502.0000000000002, 117.34, 0, 463.51, 0, 0, 2333.54, 0, 0, 1780.0300000000004, 1117.3500000000004, 
45, 1, MaxAgeClearcut(2), 45, 9, 0, 9, 135, 134, 2711.53, 20.2353, 0, 438, 0, 207, 0, 0, 18, 3, 0, 108, 0, 0, 70, 0, 0, 15, 17, 0, 1679.3800000000006, 0, 0, 26.169999999999998, 6.4399999999999995, 0, 867.2299999999997, 0, 0, 106.30000000000003, 0, 0, 12.639999999999999, 13.369999999999997, 
